,id,fixed_acidity,volatile_acidity,citric_acidity,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,citric_acid
count,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,1599.0,0
unique,,,,,,,,,,,,,,0
top,,,,,,,,,,,,,,
freq,,,,,,,,,,,,,,
mean,800.0,8.31963727329581,0.5278205128205128,0.2709756097560976,2.53880550343965,0.08746654158849279,15.874921826141339,46.46779237023139,0.9967466791744841,3.3111131957473416,0.6581488430268917,10.422983114446529,5.6360225140712945,
std,461.7358552246078,1.7410963181276953,0.17905970415353537,0.19480113740531857,1.4099280595072798,0.0470653020100901,10.460156969809725,32.895324478299074,0.0018873339538425554,0.15438646490354277,0.16950697959010996,1.0656675818473946,0.807569439734705,
min,1.0,4.6,0.12,0.0,0.9,0.012,1.0,6.0,0.99007,2.74,0.33,8.4,3.0,
25%,400.5,7.1,0.39,0.09,1.9,0.07,7.0,22.0,0.9956,3.21,0.55,9.5,5.0,
50%,800.0,7.9,0.52,0.26,2.2,0.079,14.0,38.0,0.99675,3.31,0.62,10.2,6.0,
75%,1199.5,9.2,0.64,0.42,2.6,0.09,21.0,62.0,0.997835,3.4,0.73,11.1,6.0,
max,1599.0,15.9,1.58,1.0,15.5,0.611,72.0,289.0,1.00369,4.01,2.0,14.9,8.0,
